date,wind_direction,wind_speed
2016-04-01 00:00:00,10.5,4.0
2016-04-01 03:00:00,23.30000000000001,5.0
2016-04-01 06:00:00,21.099999999999994,5.2
2016-04-01 09:00:00,24.900000000000006,4.1
2016-04-01 12:00:00,27.0,3.6
2016-04-01 15:00:00,27.099999999999994,3.0
2016-04-01 18:00:00,63.80000000000001,1.9
2016-04-01 21:00:00,82.10000000000002,2.9
2016-04-02 00:00:00,82.30000000000001,2.9
2016-04-02 03:00:00,91.80000000000001,2.8
2016-04-02 06:00:00,99.80000000000001,1.5
2016-04-02 09:00:00,92.30000000000001,1.3
2016-04-02 12:00:00,23.30000000000001,1.3
2016-04-02 15:00:00,8.599999999999994,2.1
2016-04-02 18:00:00,19.900000000000006,2.7
2016-04-02 21:00:00,45.0,2.6
2016-04-03 00:00:00,94.69999999999999,2.8
2016-04-03 03:00:00,118.89999999999998,2.2
2016-04-03 06:00:00,136.89999999999998,2.1
2016-04-03 09:00:00,148.3,3.7
2016-04-03 12:00:00,144.8,4.3
2016-04-03 15:00:00,133.10000000000002,4.6
2016-04-03 18:00:00,115.19999999999999,5.2
2016-04-03 21:00:00,116.39999999999998,5.6
2016-04-04 00:00:00,119.39999999999998,4.3
2016-04-04 03:00:00,122.0,4.0
2016-04-04 06:00:00,115.69999999999999,2.0
2016-04-04 09:00:00,112.10000000000002,1.4
2016-04-04 12:00:00,112.5,1.4
2016-04-04 15:00:00,145.8,0.8
2016-04-04 18:00:00,178.39999999999998,1.2
2016-04-04 21:00:00,164.10000000000002,1.8
2016-04-05 00:00:00,161.7,1.7
2016-04-05 03:00:00,171.60000000000002,1.8
2016-04-05 06:00:00,181.3,1.3
2016-04-05 09:00:00,173.89999999999998,1.2
2016-04-05 12:00:00,167.3,2.5
2016-04-05 15:00:00,138.39999999999998,3.0
2016-04-05 18:00:00,132.89999999999998,3.6
2016-04-05 21:00:00,129.10000000000002,3.2
2016-04-06 00:00:00,127.10000000000002,2.3
2016-04-06 03:00:00,109.39999999999998,1.5
2016-04-06 06:00:00,90.80000000000001,0.9
2016-04-06 09:00:00,65.1,0.8
2016-04-06 12:00:00,45.599999999999994,0.8
2016-04-06 15:00:00,26.900000000000006,2.0
2016-04-06 18:00:00,20.69999999999999,3.3
2016-04-06 21:00:00,13.199999999999989,3.8
2016-04-07 00:00:00,355.1,2.9
2016-04-07 03:00:00,2.5,3.0
2016-04-07 06:00:00,349.2,2.8
2016-04-07 09:00:00,348.8,2.3
2016-04-07 12:00:00,350.5,2.9
2016-04-07 15:00:00,352.1,3.7
2016-04-07 18:00:00,337.1,4.4
2016-04-07 21:00:00,321.1,5.2
2016-04-08 00:00:00,336.4,5.2
2016-04-08 03:00:00,16.5,2.5
2016-04-08 06:00:00,42.69999999999999,1.3
2016-04-08 09:00:00,21.19999999999999,0.7
2016-04-08 12:00:00,20.19999999999999,0.5
2016-04-08 15:00:00,69.69999999999999,1.2
2016-04-08 18:00:00,41.30000000000001,2.6
2016-04-08 21:00:00,65.0,2.8
2016-04-09 00:00:00,85.39999999999998,2.4
2016-04-09 03:00:00,99.80000000000001,2.3
2016-04-09 06:00:00,97.5,2.6
2016-04-09 09:00:00,109.39999999999998,2.5
2016-04-09 12:00:00,116.60000000000002,2.2
2016-04-09 15:00:00,114.89999999999998,2.6
2016-04-09 18:00:00,138.89999999999998,2.8
2016-04-09 21:00:00,135.89999999999998,2.9
2016-04-10 00:00:00,156.8,2.7
2016-04-10 03:00:00,154.8,3.3
2016-04-10 06:00:00,154.3,3.5
2016-04-10 09:00:00,146.89999999999998,2.6
2016-04-10 12:00:00,125.69999999999999,2.8
2016-04-10 15:00:00,112.19999999999999,2.4
2016-04-10 18:00:00,107.0,2.8
2016-04-10 21:00:00,99.80000000000001,2.4
2016-04-11 00:00:00,112.5,0.6
2016-04-11 03:00:00,338.9,0.6
2016-04-11 06:00:00,325.2,1.1
2016-04-11 09:00:00,335.9,2.3
2016-04-11 12:00:00,340.5,2.9
2016-04-11 15:00:00,344.1,3.3
2016-04-11 18:00:00,354.4,3.6
2016-04-11 21:00:00,352.9,2.6
2016-04-12 00:00:00,351.5,2.6
2016-04-12 03:00:00,7.099999999999994,2.9
2016-04-12 06:00:00,354.8,2.2
2016-04-12 09:00:00,350.1,2.4
2016-04-12 12:00:00,17.599999999999994,1.1
2016-04-12 15:00:00,97.5,1.6
2016-04-12 18:00:00,108.69999999999999,2.6
2016-04-12 21:00:00,106.39999999999998,3.2
2016-04-13 00:00:00,102.19999999999999,1.8
2016-04-13 03:00:00,112.89999999999998,1.8
2016-04-13 06:00:00,111.30000000000001,1.9
